Source,Title,Year,Authors,keyword_citation,Data_extracted,Are,the,results,of,the,review,valid?,"Did	the	authors	look for	the
right	type of	papers?",Is,it,worth,continuing?,"Did        the        review’s        authors        do
enough to        assess        quality        of
the        included        studies?","If        the        results        of        the        review
have        been        combined,        was        it
reasonable        to        do        so?",What,are,the,results?,How        precise        are        the        results?,"Can        the        results        be        applied        to        
the        local        population?","Were	all	important	outcomes	
considered?"
Rayyan,Team Harry Friberg at SemEval-2019 Task 4: Identifying Hyperpartisan News through Editorially Defined Metatopics - Proceedings of the 13th International Workshop on Semantic Evaluation - Proceedings of the 13th International Workshop on Semantic Evaluation,2019,"Afsarmanesh, Nazanin and Karlgren, Jussi and Sumbler, Peter and Viereckel, Nina",afsarmanesh_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Doris Martin at SemEval-2019 task 4: Hyperpartisan news detection with generic semi-supervised features,2019,"Agerri, R.",agerri_doris_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Semisupervised Federated Learning for Temporal News Hyperpatism Detection,2023,"Ahmed, Usman and Lin, Jerry Chun-Wei and Srivastava, Gautam",ahmed_semisupervised_2023,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Temporal positional lexicon expansion for federated learning based on hyperpatism detection,2023,"Ahmed, Usman and Lin, Jerry Chun-Wei and Srivastava, Gautam",ahmed_temporal_2023,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Fine-grained Classification of Political Bias in German News: A Data Set and Initial Experiments,2021,"Aksenov, D. and Bourgonje, P. and Zaczynska, K. and Ostendorff, M. and Moreno-Schneider, J. and Rehm, G.",aksenov_fine-grained_2021,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Spider-Jerusalem at SemEval-2019 task 4: Hyperpartisan news detection,2019,"Alabdulkarim, A. and Alhindi, T.",alabdulkarim_spider-jerusalem_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Ideology Detection of Personalized Political News Coverage: A New Dataset,2020,"Alzhrani, Khudran",alzhrani_ideology_2020,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Harvey Mudd College at SemEval-2019 task 4: The D.X. Beaumont hyperpartisan news detector,2019,"Amason, E. and Palanker, J. and Shen, M.C. and Medero, J.",amason_harvey_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Kermit-the-frog at SemEval-2019 task 4: Bias detection through sentiment analysis and simple linguistic features,2019,"Anthonio, T. and Kloppenburg, L.",anthonio_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Frank at checkthat! 2023: Detecting the political bias of news articles and news media,2023,"Azizov, Dilshod and Liang, S and Nakov, P",azizov_notebook_2023,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Multi-task ordinal regression for jointly predicting the trustworthiness and the leading political ideology of news media,2019,"Baly, R. and Karadzhov, G. and Saleh, A. and Glass, J. and Nakov, P.",baly_multi-task_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,We can detect your bias: Predicting the political ideology of news articles,2020,"Baly, Ramy and Martino, Giovanni Da San and Glass, James and Nakov, Preslav",baly_we_2020,dataset + results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Tintin at SemEval-2019 task 4: Detecting hyperpartisan news article with only simple tokens,2019,"Bestgen, Y.",bestgen_tintin_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Fermi at SemEval-2019 task 4: The Sarah-Jane-Smith Hyperpartisan news detector,2019,"Chakravartula, N. and Indurthi, V. and Syed, B.",chakravartula_fermi_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Harvey Mudd College at SemEval-2019 task 4: The Carl Kolchak Hyperpartisan News Detector,2019,"Chen, C. and Park, C. and Dwyer, J. and Medero, J.",chen_harvey_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Kit Kittredge at SemEval-2019 task 4: LSTM voting system,2019,"Cramerus, R. and Scheffler, T.",cramerus_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,On document representations for detection of biased news articles,2020,"Cruz, A.F. and Rocha, G. and Cardoso, H.L.",cruz_document_2020,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Team Fernando-Pessa at SemEval-2019 task 4: Back to basics in hyperpartisan news detection,2019,"Cruz, A.F. and Rocha, G. and Sousa-Silva, R. and Cardoso, H.L.",cruz_team_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Politically-oriented information inference from text,2023,"da Silva, Samuel Caetano and Paraboni, Iv and re",da_silva_politically-oriented_2023,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Harvey Mudd College at SemEval-2019 task 4: The Clint Buchanan hyperpartisan news detector,2019,"Drissi, M. and S and oval, P. and Ojha, V. and Medero, J.",drissi_harvey_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Fake and Hyper-partisan News Identification. - RoCHI - RoCHI,2019,"Dumitru, Vlad Cristian and Rebedea, Traian",dumitru_fake_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Topic-based Models with Fact Checking for Fake News Identification. - RoCHI - RoCHI,2021,"Dumitru, Vlad Cristian and Rebedea, Traian",university_politehnica_of_bucharest_topic-based_2021,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Role of ELMo Embedding in Detecting Fake News on Social Media - 2022 11th International Conference on System Modeling \& Advancement in Research Trends (SMART) - 2022 11th International Conference on System Modeling \& Advancement in Research Trends (SMART),2022,"Garg, Sonal and Sharma, Dilip Kumar",garg_role_2022,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,The POLUSA Dataset: 0.9M Political News Articles Balanced by Time and Outlet Popularity,2020,"Gebhard, Lukas and Hamborg, Felix",gebhard_polusa_2020,dataset,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Clark Kent at SemEval-2019 task 4: Stylometric insights into hyperpartisan news detection,2019,"Gupta, V. and Jolly, B.L.K. and Kaur, R. and Chakraborty, T.",gupta_clark_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,The Sally Smedley Hyperpartisan News Detector at SemEval-2019 task 4: Learning classifiers with feature combinations and ensembling,2019,"Hanawa, K. and Sasaki, S. and Ouchi, H. and Suzuki, J. and Inui, K.",hanawa_sally_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Hyperpartisan news classification with elmo and bias feature,2021,"HUANG, G.K.W. and LEE, J.C.",gerald_ki_wei_huang_hyperpartisan_2021,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Hyperpartisan news and articles detection using BERT and ELMo,2019,"Huang, G.K.W. and Lee, J.C.",huang_hyperpartisan_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
Rayyan,Dick-Preston and Morbo at SemEval-2019 task 4: Transfer learning for hyperpartisan news detection,2019,"Isbister, T. and Johansson, F.",isbister_dick-preston_2019,results,yes,yes,yes,we applied inclusion criteria and read the full article,,see column Data_extracted,High,Not applicable,yes,,,,,,,,,,,,
