key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1120387402,Cultural Fault Lines and Political Polarization,2017,,,Proceedings of the 2017 ACM on Web Science Conference,9781450348966,,,213–217,"Shi, Yongren and Mast, Kai and Weber, Ingmar and Kellum, Agrippa and Macy, Michael",https://doi.org/10.1145/3091478.3091520,,Association for Computing Machinery,"Troy, New York, USA",,not_pertinent,10.1145/3091478.3091520,culture;polarization;social media;networks,,
rayyan-1120387403,"Understanding Political Polarization via Jointly Modeling Users, Connections and Multimodal Contents on Heterogeneous Graphs",2022,,,Proceedings of the 30th ACM International Conference on Multimedia,9781450392037,,,4072–4082,"Lyu, Hanjia and Luo, Jiebo",https://doi.org/10.1145/3503161.3547898,,Association for Computing Machinery,"Lisboa, Portugal",,other_method,10.1145/3503161.3547898,political polarization;user-content interaction;heterogeneous graph;multimedia,,
rayyan-1120387404,Content and Network Dynamics Behind Egyptian Political Polarization on Twitter,2015,,,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work &amp; Social Computing,9781450329224,,,700–711,"Borge-Holthoefer, Javier and Magdy, Walid and Darwish, Kareem and Weber, Ingmar",https://doi.org/10.1145/2675133.2675163,,Association for Computing Machinery,"Vancouver, BC, Canada",,not_pertinent_data,10.1145/2675133.2675163,opinion switch;polarization;mobilization;egypt;twitter,,
rayyan-1120387405,Studying Political Bias via Word Embeddings,2020,,,Companion Proceedings of the Web Conference 2020,9781450370240,,,760–764,"Gordon, Joshua and Babaeianjelodar, Marzieh and Matthews, Jeanna",https://doi.org/10.1145/3366424.3383560,,Association for Computing Machinery,"Taipei, Taiwan",,not_pertinent_data,10.1145/3366424.3383560,natural language processing;political bias;Twitter dataset;Bias (Epidemiology),,
rayyan-1120387406,A Transformer-based Framework for Neutralizing and Reversing the Political Polarity of News Articles,2021,,,Proc. ACM Hum.-Comput. Interact.,,5,,Article 65,"Liu, Ruibo and Jia, Chenyan and Vosoughi, Soroush",https://doi.org/10.1145/3449139,,Association for Computing Machinery,,,other_task,10.1145/3449139,selective exposure;transformer-based models;neural networks;political polarization;echo chamber;journalism;automatic polarity transfer,,
rayyan-1120387407,"That's Fake News! Reliability of News When Provided Title, Image, Source Bias &amp; Full Article",2021,,,Proc. ACM Hum.-Comput. Interact.,,5,,Article 109,"Spezzano, Francesca and Shrestha, Anu and Fails, Jerry Alan and Stone, Brian W.",https://doi.org/10.1145/3449183,,Association for Computing Machinery,,,other_task,10.1145/3449183,meta-data analysis;news credibility;fake news;Bias (Epidemiology);Adenosine Monophosphate,,
rayyan-1120387408,Ideology Detection of Personalized Political News Coverage: A New Dataset,2020,,,Proceedings of the 2020 the 4th International Conference on Compute and Data Analysis,9781450376440,,,10–15,"Alzhrani, Khudran",https://doi.org/10.1145/3388142.3388149,,Association for Computing Machinery,"Silicon Valley, CA, USA",,included,10.1145/3388142.3388149,Neural Language Processing;Machine Learning;Text Classification;Political Science;News Personalization;News Bias,,
rayyan-1120387409,The POLUSA Dataset: 0.9M Political News Articles Balanced by Time and Outlet Popularity,2020,,,Proceedings of the ACM/IEEE Joint Conference on Digital Libraries in 2020,9781450375856,,,467–468,"Gebhard, Lukas and Hamborg, Felix",https://doi.org/10.1145/3383583.3398567,,Association for Computing Machinery,"Virtual Event, China",,included,10.1145/3383583.3398567,corpus;media bias;natural language processing;cc-news;computational social sciences;text mining;us politics,,
rayyan-1120387410,Fake News vs Satire: A Dataset and Analysis,2018,,,Proceedings of the 10th ACM Conference on Web Science,9781450355636,,,17–21,"Golbeck, Jennifer and Mauriello, Matthew and Auxier, Brooke and Bhanushali, Keval H. and Bonk, Christopher and Bouzaghrane, Mohamed Amine and Buntain, Cody and Ch, Riya and uka and Cheakalos, Paul and Everett, Jennine B. and Falak, Waleed and Gieringer, Carl and Graney, Jack and Hoffman, Kelly M. and Huth, Lindsay and Ma, Zhenya and Jha, Mayanka and Khan, Misbah and Kori, Varsha and Lewis, Elo and Mirano, George and IV, William T. Mohn and Mussenden, Sean and Nelson, Tammie M. and Mcwillie, Sean and Pant, Akshat and Shetye, Priya and Shrestha, Rusha and Alex and ra Steinheimer and Subramanian, Aditya and Visnansky, Gina",https://doi.org/10.1145/3201064.3201100,,Association for Computing Machinery,"Amsterdam, Netherlands",,not_pertinent_data,10.1145/3201064.3201100,classification;datasets;fake news,,
rayyan-1120387411,Ideology detection in the indian mass media,2021,,,Proceedings of the 12th IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,9781728110561,,,627–634,"Sharma, Ankur and Kaur, Navreet and Sen, Anirban and Seth, Aaditeshwar",https://doi.org/10.1109/ASONAM49781.2020.9381344,,IEEE Press,"Virtual Event, Netherlands",,included,10.1109/ASONAM49781.2020.9381344,media bias;recursive neural networks;sentiment analysis;ideology classification;social media analysis;ideology detection;social policy;mass media analysis;Mass Media,,
rayyan-1120387412,POLAR: a holistic framework for the modelling of polarization and identification of polarizing topics in news media,2022,,,Proceedings of the 2021 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,9781450391283,,,348–355,"Paschalides, Demetris and Pallis, George and Dikaiakos, Marios D.",https://doi.org/10.1145/3487351.3489443,,Association for Computing Machinery,"Virtual Event, Netherlands",,other_method,10.1145/3487351.3489443,signed networks;polarization;inter-group conflict;polarizing topic extraction;natural language processing,,
rayyan-1120387413,KHAN: Knowledge-Aware Hierarchical Attention Networks for Accurate Political Stance Prediction,2023,,,Proceedings of the ACM Web Conference 2023,9781450394161,,,1572–1583,"Ko, Yunyong and Ryu, Seongeun and Han, Soeun and Jeon, Youngseung and Kim, Jaehoon and Park, Sohyun and Han, Kyungsik and Tong, Hanghang and Kim, Sang-Wook",https://doi.org/10.1145/3543507.3583300,,Association for Computing Machinery,"Austin, TX, USA",,included,10.1145/3543507.3583300,knowledge graph embedding;political stance prediction;echo chamber effect;hierarchical attention networks,,
rayyan-1120387414,HyperPT: detection and classification of hyperpartisan news articles,2021,,,,,,,,"Muscat, Mark",,,,,,not_pertinent_document,,,,
