index,Reference,Publication Year,Title,First Author,Dataset,Language,Media’s Country,Method,Model,Accuracy,F1,notes,Date of data extraction,Confirmation that the study was eligible to be included
1,lyu2024computational,2024,Computational assessment of hyperpartisanship in news titles,"Lyu, H.",Own,English,U.S,DL,BERT,0.84,0.78,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",12/11/2023,Yes
2,omidi-shayegan-etal-2024-evaluation,2024,An evaluation of language models for hyperpartisan ideology detection in Persian Twitter,"Omidi~Shayegan, S.",Own,Persian,Iran,Other,ChatGPT,0.85,0.85,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",04/04/2024,Yes
3,Mets_PLOS,2024,Automated stance detection in complex topics and small languages: The challenging case of immigration in polarizing news media,"Mets, Mark ",Own,Estonian,Estonia,Other,,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",29/10/2024,Yes
4,ko_khan_2023,2023,KHAN: Knowledge-aware hierarchical attention networks for accurate political stance prediction,Ko,Semeval-2019,English,U.S,DL,HAN,0.95,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",12/11/2023,Yes
5,kim_multi-stage_2023,2023,Multi-stage prompt tuning for political perspective detection in low-resource settings,"Kim, K.M.",Semeval-2019,English,U.S,DL,MP-tuning,0.91,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",12/11/2023,Yes
6,smadu_fake_2023,2023,From Fake to Hyperpartisan News Detection Using Domain Adaptation,"Smădu, R.A.",Semeval-2019,English,U.S,DL,RoBERTa,0.84,0.83,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",30/11/2023,Yes
7,ahmed_temporal_2023,2023,Temporal positional lexicon expansion for federated learning based on hyperpatism detection,"Ahmed, U.",Semeval-2019,English,U.S,DL,BERT,0.83,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",12/11/2023,Yes
8,ahmed_semisupervised_2023,2023,Semisupervised federated learning for temporal news hyperpatism detection,"Ahmed, U.",Semeval-2019 by-article + by-publisher,English,U.S,DL,BERT,U/A,0.91,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
9,azizov_notebook_2023,2023,Frank at checkthat! 2023: Detecting the political bias of news articles and news media,"Azizov, D.",Task 3A,English,U.S,DL,CatBoost,0.69,0.69,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
10,kim_close_2022,2022,CLoSE: Contrastive learning of subframe embeddings for political bias classification of news media,"Kim, M.Y.",Framing Triplet Dataset,English,U.S,DL,multi-task BERT-based model,0.84,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
11,naredla_detection_2022,2022,Detection of hyperpartisan news articles using natural language processing technique,"Naredla, N.R.",Semeval-2019,English,U.S,ML,Random Forest,0.88,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
12,liu_politics_2022,2022,POLITICS: pretraining with same-story article comparison for ideology prediction and stance detection,"Lyu, Y.",Semeval-2019,English,U.S,DL,RoBERTa,0.85,0.85,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
13,sridharan_automated_2022,2022,An automated news bias classifier using caenorhabditis elegans inspired recursive feedback network architecture,"Sridharan, A.",Own,English,U.S,DL,Mesh Neural Network,0.45,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",15/11/2023,Yes
14,m_alzhrani_political_2022,2022,Political ideology detection of news articles using deep neural networks,"M.Alzhrani, K.",Presidential,English,U.S,DL,HAN,0.91,0.90,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",16/11/2023,Yes
15,garg_role_2022,2022,Role of ELMo embedding in detecting fake news on social media,"Garg, S.",Reuter,English,U.S,ML,Logistic Regression,U/A,0.93,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
16,szwoch_creation_2022,2022,Creation of Polish Online News Corpus for Political Polarization Studies,"Szwoch, J.","TVP Info, TVP 24",Polish,Poland,,,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",17/11/2023,Yes
17,snchez-junquera_detection_2021,2021,On the detection of political and social bias,"Sánchez-Junquera, J.",Stereoimmigrants,Spanish,U.S,DL,BERT,0.86,0.83,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
18,universitat_politecnica_de_valencia_spain_masking_2021,2021,Masking and transformer-based models for hyperpartisanship detection in news,"Sánchez-Junquera, J.",The BuzzFeed-Webis Fake News Corpus 2016,English,U.S,DL,BERT,0.89,0.86,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",23/11/2023,Yes
19,li_using_2021,2021,Using social and linguistic information to adapt pretrained representations for political perspective identification,"Li, C.",Semeval-2019,English,U.S,DL,LSTM,0.86,0.84,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",17/11/2023,Yes
20,gerald_ki_wei_huang_hyperpartisan_2021,2021,Hyperpartisan news classification with {ELMo} and bias feature,"Gerald Ki Wei, H.",The BuzzFeed-Webis Fake News Corpus 2016,English,U.S,DL,CNN,U/A,0.73,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",21/11/2023,Yes
21,ruan_bias_2021,2021,Bias bubbles: Using semi-supervised learning to measure how many biased news articles are around us.,"Ruan, Q.",Semeval-2019 by-article + by-publisher,English,U.S,DL,BERT,0.87,0.81,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",21/11/2023,Yes
22,aksenov_fine-grained_2021,2021,Fine-grained classification of political bias in german news: A data set and initial experiments,"Aksenov, D.",GERMAN Dataset,German,Germany,ML,Random Forest,U/A,0.79,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",15/11/2023,Yes
23,university_politehnica_of_bucharest_topic-based_2021,2021,Topic-based Models with Fact Checking for Fake News Identification. - RoCHI - RoCHI,"Dumitru, Vlad Cristian",Politifact,English,U.S,,,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",13/11/2023,Yes
24,cruz_document_2020,2020,On document representations for detection of biased news articles,"Cruz, A.F.",Semeval-2019,English,U.S,DL,HAN,0.82,0.81,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",18/11/2023,Yes
25,roy_weakly_2020,2020,Weakly supervised learning of nuanced frames for analyzing polarization in news media,"Roy, S.",Own,English,U.S,DL,LSTM,U/A,0.80,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",24/11/2023,Yes
26,tran_how_2020,2020,How biased are american media outlets? a framework for presentation bias regression,"Tran, M.",PoliNews,English,U.S,DL,BERT,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",21/11/2023,Yes
27,sharma_ideology_2020,2020,Ideology detection in the indian mass media,"Sharma, A.",Own,English,India,DL,RNN,0.84,0.87,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",29/11/2023,Yes
28,baly_we_2020,2020,We can detect your bias: Predicting the political ideology of news articles,"Baly, R.",Own,English,U.S,DL,BERT,0.72,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",29/11/2023,Yes
29,dumitru_fake_2019,2020,Fake and hyper-partisan news identification,"Dumitru, V.C.",Own,English,U.S,ML,LSVM,0.93,0.81,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",14/11/2023,Yes
30,alzhrani_ideology_2020,2020,Ideology Detection of Personalized Political News Coverage: A New Dataset,"Alzhrani, Khudran",Presidential,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",16/11/2023,Yes
31,gebhard_polusa_2020,2020,The POLUSA Dataset: 0.9M Political News Articles Balanced by Time and Outlet Popularity,"Gebhard, Lukas",POLUSA,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",15/11/2023,Yes
32,lim_creating_2020,2020,Creating a dataset for fine-grained bias detection in news articles ,"Lim, Sora ",The Annotated Data Dataset,English,U.S,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",15/11/2023,Yes
33,pierri_hoaxitaly_2020,2020,HoaxItaly: a collection of Italian disinformation and fact-checking stories shared on Twitter in 2019,"Pierri, Francesco ",Own,Italian,Italy,U/A,U/A,U/A,U/A,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",17/11/2023,Yes
34,jiang_team_2019,2019,Team Bertha von Suttner at SemEval-2019 task 4: Hyperpartisan news detection using ELMo sentence representation convolutional network,"Jiang, Y.",Semeval-2019,English,U.S,DL,CNN,0.82,0.81,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",22/11/2023,Yes
35,srivastava_vernon-fenwick_2019,2019,Vernon-fenwick at SemEval-2019 task 4: Hyperpartisan news detection using lexical and semantic features,"Srivastava, V.",Semeval-2019,English,U.S,ML,Logistic Regression,0.82,0.82,"RAYYAN-INCLUSION: {""Michele ""=>""Included"", ""Davide""=>""Included""}",29/11/2023,Yes
